,bank,bank_name,bank_code,atm,atm_detail,address,ward,district,ward_level,district_level,unnamed,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,number_of_results,status
0,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM 17T10,ATM,"ATM 17T10, KDT Trung Hoa Nhan Chinh, Thanh Xuan, Ha Noi,Viet Nam",Phuong Nhan Chinh,Quan Thanh Xuan,Phuong,Quan ,0,"KĐT, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.010153,105.798834,GEOMETRIC_CENTER,ChIJTWwIZhKtNTER3UCOY67PIwo,"atm,establishment,finance,point_of_interest",0,1,OK
1,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM Toa Nha 17 T 3,ATM,"ATM Toa Nha 17 T 3, KDT Trung Hoa Nhan Chinh, Thanh Xuan, Ha Noi,Viet Nam",Phuong Nhan Chinh,Quan Thanh Xuan,Phuong,Quan ,1,"Hoàng Đạo Thúy, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0088084,105.8014881,GEOMETRIC_CENTER,ChIJ1yZGH6GsNTERWwoh0fH6hQo,"establishment,point_of_interest",0,1,OK
2,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM Toa Nha 17 T 6,ATM,"ATM Toa Nha 17 T 6, KDT Trung Hoa Nhan Chinh, Thanh Xuan, Ha Noi,Viet Nam",Phuong Nhan Chinh,Quan Thanh Xuan,Phuong,Quan ,2,"Tầng 1, Tòa nhà 17T6, Khu Đô thị Trung Hòa-Nhân Chính, Nhân Chính, Thanh Xuân, Trung Hòa Nhân Chính, Hà Nội, Vietnam",21.0063928,105.803963,GEOMETRIC_CENTER,ChIJBU1EjqGsNTERMw9cipHExx0,"atm,bank,establishment,finance,point_of_interest",0,1,OK
3,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM Toa Nha 24 T 1,ATM,"ATM Toa Nha 24 T 1, KDT Trung Hoa Nhan Chinh, Thanh Xuan, Ha Noi,Viet Nam",Phuong Nhan Chinh,Quan Thanh Xuan,Phuong,Quan ,3,"24 T1, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0084399,105.8019307,ROOFTOP,ChIJicGwaKOtNTER8T84c-0mfuc,"establishment,point_of_interest",0,1,OK
4,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM Toa Nha 24 T 2,ATM,"ATM Toa Nha 24 T 2, KDT Trung Hoa Nhan Chinh, Thanh Xuan, Ha Noi,Viet Nam",Phuong Nhan Chinh,Quan Thanh Xuan,Phuong,Quan ,4,"24 T1, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0084399,105.8019307,ROOFTOP,ChIJicGwaKOtNTER8T84c-0mfuc,"establishment,point_of_interest",0,1,OK
5,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM Toa Nha 34 T,ATM,"ATM Toa Nha 34 T, KDT Trung Hoa Nhan Chinh, Thanh Xuan, Ha Noi,Viet Nam",Phuong Nhan Chinh,Quan Thanh Xuan,Phuong,Quan ,5,"Khu Đô Thị Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Quận Cầu Giấy, Trung Hoà, Cầu Giấy, Hà Nội, Vietnam",21.0081642,105.8031766,GEOMETRIC_CENTER,ChIJaxOACqGsNTERUllaYvN329g,"atm,establishment,finance,point_of_interest",0,1,OK
6,Vietinbank,Ngan hang TMCP Cong thuong Viet Nam,45,CN Hoang Mai,ATM,"CN Hoang Mai, 18 Tam Trinh, Minh Khai, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Minh Khai,Quan Hai Ba Trung,Phuong,Quan ,6,"18 Đường Tam Trinh, Mai Động, Hai Bà Trưng, Hà Nội, Vietnam",20.9950593,105.8618103,ROOFTOP,ChIJ25GkIVGtNTERE-C2XyUSojA,"bank,establishment,finance,point_of_interest",0,1,OK
7,Techcombank,Ngan hang TMCP Ky Thuong,36,Techcombank Linh Nam,ATM,"Techcombank Linh Nam, 18 Tam Trinh, Minh Khai, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Minh Khai,Quan Hai Ba Trung,Phuong,Quan ,7,"18 Đường Tam Trinh, Mai Động, Hai Bà Trưng, Hà Nội, Vietnam",20.9950593,105.8618103,ROOFTOP,ChIJ25GkIVGtNTERE-C2XyUSojA,"bank,establishment,finance,point_of_interest",0,1,OK
8,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Toa Nha Tam Trinh,ATM,"VCBC Toa Nha Tam Trinh, 18 Tam Trinh, Minh Khai, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Bach Mai,Quan Hai Ba Trung,Phuong,Quan ,8,"Tam Trinh Street, Minh Khai Ward, Hai Ba Trung District, Mai Động, Hoàng Mai, Hà Nội, Vietnam",20.9941759,105.8617916,GEOMETRIC_CENTER,ChIJB8l3OtqtNTERjqCzF178TTg,"establishment,point_of_interest",0,1,OK
9,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990076 - ATM PGD Tam Trinh,ATM,"ATM PGD Tam Trinh, 18 Tam Trinh, Minh Khai, Hai Ba Trung, Ha Noi,Viet Nam",Phuong Minh Khai,Quan Hai Ba Trung,Phuong,Quan ,9,"Số 18 Đường Tam Trinh, Mai Động, Hai Bà Trưng, Hà Nội 100000, Vietnam",20.99523,105.8619,ROOFTOP,ChIJQ-jd0A-sNTERSJirmYf3Shw,"bank,establishment,finance,point_of_interest",100000,2,OK
